name,club,age,position,nationality,latitude,longitude
Riyad Mahrez,Leicester City,26,RW,Algeria,28,1.6
Islam Slimani,Leicester City,29,CF,Algeria,28,1.6
Sofiane Feghouli,West Ham,27,RW,Algeria,28,1.6
Emiliano Martinez,Arsenal,24,GK,Argentina,-38.4,-63.6
Bruno,Brighton,36,RB,Argentina,-38.4,-63.6
Willy Caballero,Chelsea,35,GK,Argentina,-38.4,-63.6
Julian Speroni,Crystal Palace,38,GK,Argentina,-38.4,-63.6
Ramiro Funes Mori,Everton,26,CB,Argentina,-38.4,-63.6
Leonardo Ulloa,Leicester City,30,CF,Argentina,-38.4,-63.6
Sergio Aguero,Manchester City,29,CF,Argentina,-38.4,-63.6
Nicolas Otamendi,Manchester City,29,CB,Argentina,-38.4,-63.6
Marcos Rojo,Manchester United,27,CB,Argentina,-38.4,-63.6
Sergio Romero,Manchester United,30,GK,Argentina,-38.4,-63.6
Federico Fernandez,Swansea,28,CB,Argentina,-38.4,-63.6
Erik Lamela,Tottenham,25,RW,Argentina,-38.4,-63.6
Roberto Pereyra,Watford,26,AM,Argentina,-38.4,-63.6
Mauro Zarate,Watford,30,SS,Argentina,-38.4,-63.6
Claudio Yacob,West Brom,30,DM,Argentina,-38.4,-63.6
Manuel Lanzini,West Ham,24,AM,Argentina,-38.4,-63.6
Pablo Zabaleta,West Ham,32,RB,Argentina,-38.4,-63.6
Henrikh Mkhitaryan,Manchester United,28,AM,Armenia,40,45
Adam Federici,Bournemouth,32,GK,Australia,-25.2,133.7
Brad Smith,Bournemouth,23,LB,Australia,-25.2,133.7
Mathew Ryan,Brighton,25,GK,Australia,-25.2,133.7
Aaron Mooy,Huddersfield,26,CM,Australia,-25.2,133.7
Markus Suttner,Brighton,30,LB,Austria,47.5,14.5
Christian Fuchs,Leicester City,31,LB,Austria,47.5,14.5
Kevin Wimmer,Tottenham,24,CB,Austria,47.5,14.5
Sebastian Prodl,Watford,30,CB,Austria,47.5,14.5
Steven Defour,Burnley,29,CM,Belgium,50.5,4.4
Eden Hazard,Chelsea,26,LW,Belgium,50.5,4.4
Thibaut Courtois,Chelsea,25,GK,Belgium,50.5,4.4
Michy Batshuayi,Chelsea,23,CF,Belgium,50.5,4.4
Christian Benteke,Crystal Palace,26,CF,Belgium,50.5,4.4
Kevin Mirallas,Everton,29,RW,Belgium,50.5,4.4
Laurent Depoitre,Huddersfield,28,CF,Belgium,50.5,4.4
Simon Mignolet,Liverpool,29,GK,Belgium,50.5,4.4
Divock Origi,Liverpool,22,CF,Belgium,50.5,4.4
Kevin De Bruyne,Manchester City,26,AM,Belgium,50.5,4.4
Vincent Kompany,Manchester City,31,CB,Belgium,50.5,4.4
Romelu Lukaku,Manchester United,24,CF,Belgium,50.5,4.4
Marouane Fellaini,Manchester United,29,CM,Belgium,50.5,4.4
Jan Vertonghen,Tottenham,30,CB,Belgium,50.5,4.4
Toby Alderweireld,Tottenham,28,CB,Belgium,50.5,4.4
Mousa Dembele,Tottenham,30,CM,Belgium,50.5,4.4
Kabasele,Watford,26,CB,Belgium,50.5,4.4
Nacer Chadli,West Brom,27,LW,Belgium,50.5,4.4
Steve Mounie,Huddersfield,22,CF,Benin,9.3,2.3
Nahki Wells,Huddersfield,27,CF,Bermuda,32.3,-64.7
Sead Kolasinac,Arsenal,24,LB,Bosnia & Herzegovina,43.9,17.6
Asmir Begovic,Bournemouth,30,GK,Bosnia & Herzegovina,43.9,17.6
Gabriel Paulista,Arsenal,26,CB,Brazil,-14.2,-51.9
David Luiz,Chelsea,30,CB,Brazil,-14.2,-51.9
Willian,Chelsea,28,RW,Brazil,-14.2,-51.9
Kenedy,Chelsea,21,LB,Brazil,-14.2,-51.9
Roberto Firmino,Liverpool,25,SS,Brazil,-14.2,-51.9
Philippe Coutinho,Liverpool,25,AM,Brazil,-14.2,-51.9
Lucas Leiva,Liverpool,30,DM,Brazil,-14.2,-51.9
Fernandinho,Manchester City,32,DM,Brazil,-14.2,-51.9
Gabriel Jesus,Manchester City,20,CF,Brazil,-14.2,-51.9
Fernando,Manchester City,32,DM,Brazil,-14.2,-51.9
Ederson Moraes,Manchester City,23,GK,Brazil,-14.2,-51.9
