player,position,club,nationality,latitude,longitude
Riyad Mahrez,Midfielder,Leicester City,Algeria,28,1.6
Islam Slimani,Forward,Leicester City,Algeria,28,1.6
Willy Caballero,Goalkeeper,Chelsea,Argentina,-38.4,-63.6
Julian Speroni,Goalkeeper,Crystal Palace,Argentina,-38.4,-63.6
Ramiro Funes Mori,Defender,Everton,Argentina,-38.4,-63.6
Leonardo Ulloa,Forward,Leicester City,Argentina,-38.4,-63.6
Nicolas Otamendi,Defender,Manchester City,Argentina,-38.4,-63.6
Sergio Aguero,Forward,Manchester City,Argentina,-38.4,-63.6
Sergio Romero,Goalkeeper,Manchester United,Argentina,-38.4,-63.6
Marcos Rojo,Defender,Manchester United,Argentina,-38.4,-63.6
Federico Fernandez,Defender,Swansea City,Argentina,-38.4,-63.6
Erik Lamela,Midfielder,Tottenham Hotspur,Argentina,-38.4,-63.6
Paulo Gazzaniga,Goalkeeper,Tottenham Hotspur,Argentina,-38.4,-63.6
Juan Foyth,Defender,Tottenham Hotspur,Argentina,-38.4,-63.6
Roberto Pereyra,Midfielder,Watford,Argentina,-38.4,-63.6
Claudio Yacob,Midfielder,West Bromwich Albion,Argentina,-38.4,-63.6
Pablo Zabaleta,Defender,West Ham United,Argentina,-38.4,-63.6
Manuel Lanzini,Midfielder,West Ham United,Argentina,-38.4,-63.6
Henrikh Mkhitaryan,Midfielder,Manchester United,Armenia,40,45
Brad Smith,Defender,AFC Bournemouth,Australia,-25.2,133.7
Mat Ryan,Goalkeeper,Brighton & Hove Albion,Australia,-25.2,133.7
Aaron Mooy,Midfielder,Huddersfield Town,Australia,-25.2,133.7
Markus Suttner,Defender,Brighton & Hove Albion,Austria,47.5,14.5
Ashley Barnes,Forward,Burnley,Austria,47.5,14.5
Christian Fuchs,Defender,Leicester City,Austria,47.5,14.5
Aleksandar Dragovic,Defender,Leicester City,Austria,47.5,14.5
Kevin Wimmer,Defender,Stoke City,Austria,47.5,14.5
Daniel Bachmann,Goalkeeper,Watford,Austria,47.5,14.5
Sebastian Prodl,Defender,Watford,Austria,47.5,14.5
Marko Arnautovic,Forward,West Ham United,Austria,47.5,14.5
Steven Defour,Midfielder,Burnley,Belgium,50.5,4.4
Thibaut Courtois,Goalkeeper,Chelsea,Belgium,50.5,4.4
Eden Hazard,Midfielder,Chelsea,Belgium,50.5,4.4
Michy Batshuayi,Forward,Chelsea,Belgium,50.5,4.4
Charly Musonda,Midfielder,Chelsea,Belgium,50.5,4.4
Christian Benteke,Forward,Crystal Palace,Belgium,50.5,4.4
Kevin Mirallas,Midfielder,Everton,Belgium,50.5,4.4
Laurent Depoitre,Forward,Huddersfield Town,Belgium,50.5,4.4
Simon Mignolet,Goalkeeper,Liverpool,Belgium,50.5,4.4
Vincent Kompany,Defender,Manchester City,Belgium,50.5,4.4
Kevin De Bruyne,Midfielder,Manchester City,Belgium,50.5,4.4
Marouane Fellaini,Midfielder,Manchester United,Belgium,50.5,4.4
Romelu Lukaku,Forward,Manchester United,Belgium,50.5,4.4
Julien Ngoy,Forward,Stoke City,Belgium,50.5,4.4
Thibaud Verlinden,Forward,Stoke City,Belgium,50.5,4.4
Toby Alderweireld,Defender,Tottenham Hotspur,Belgium,50.5,4.4
Jan Vertonghen,Defender,Tottenham Hotspur,Belgium,50.5,4.4
Mousa Dembele,Midfielder,Tottenham Hotspur,Belgium,50.5,4.4
Christian Kabasele,Defender,Watford,Belgium,50.5,4.4
Nacer Chadli,Midfielder,West Bromwich Albion,Belgium,50.5,4.4
Steve Mounie,Forward,Huddersfield Town,Benin,9.3,2.3
Nahki Wells,Forward,Burnley,Bermuda,32.3,-64.7
Asmir Begovic,Goalkeeper,AFC Bournemouth,Bosnia And Herzegovina,43.9,17.6
Sead Kolasinac,Defender,Arsenal,Bosnia And Herzegovina,43.9,17.6
Muhamed Besic,Midfielder,Everton,Bosnia And Herzegovina,43.9,17.6
David Luiz,Defender,Chelsea,Brazil,-14.2,-51.9
Willian,Midfielder,Chelsea,Brazil,-14.2,-51.9
Kenedy,Midfielder,Chelsea,Brazil,-14.2,-51.9
Philippe Coutinho,Midfielder,Liverpool,Brazil,-14.2,-51.9
Roberto Firmino,Forward,Liverpool,Brazil,-14.2,-51.9
Ederson,Goalkeeper,Manchester City,Brazil,-14.2,-51.9
Fernandinho,Midfielder,Manchester City,Brazil,-14.2,-51.9
Gabriel Jesus,Forward,Manchester City,Brazil,-14.2,-51.9
Danilo,Defender,Manchester City,Brazil,-14.2,-51.9
Heurelho Gomes,Goalkeeper,Watford,Brazil,-14.2,-51.9
Richarlison,Forward,Watford,Brazil,-14.2,-51.9
Gaetan Bong,Defender,Brighton & Hove Albion,Cameroon,7.3,12.3
Joel Matip,Defender,Liverpool,Cameroon,7.3,12.3
Eric Maxim Choupo-Moting,Midfielder,Stoke City,Cameroon,7.3,12.3
Allan Nyom,Defender,West Bromwich Albion,Cameroon,7.3,12.3
Scott Arfield,Midfielder,Burnley,Canada,7.3,12.3
Alexis Sanchez,Forward,Arsenal,Chile,-35.6,-71.5
Claudio Bravo,Goalkeeper,Manchester City,Chile,-35.6,-71.5
David Ospina,Goalkeeper,Arsenal,Colombia,4.5,-74.2
Jose Izquierdo,Forward,Brighton & Hove Albion,Colombia,4.5,-74.2
Davinson Sanchez,Defender,Tottenham Hotspur,Colombia,4.5,-74.2
Benik Afobe,Forward,AFC Bournemouth,Congo,-4,21.7
Jason Eyenga Lokilo,Midfielder,Crystal Palace,Congo,-4,21.7
Yannick Bolasie,Forward,Everton,Congo,-4,21.7
Elias Kachunga,Forward,Huddersfield Town,Congo,-4,21.7
Chancel Mbemba,Defender,Newcastle United,Congo,-4,21.7
Arthur Masuaku,Defender,West Ham United,Congo,-4,21.7
Wilfried Zaha,Midfielder,Crystal Palace,Cote D'Ivoire,7.5,-5.5
Yaya Toure,Midfielder,Manchester City,Cote D'Ivoire,7.5,-5.5
Eric Bailly,Defender,Manchester United,Cote D'Ivoire,7.5,-5.5
Wilfried Bony,Forward,Swansea City,Cote D'Ivoire,7.5,-5.5
Serge Aurier,Defender,Tottenham Hotspur,Cote D'Ivoire,7.5,-5.5
Brice Dja Djedje,Defender,Watford,Cote D'Ivoire,7.5,-5.5
Nikola Vlasic,Forward,Everton,Croatia,45.1,15.2
Dejan Lovren,Defender,Liverpool,Croatia,45.1,15.2
Cuco Martina,Defender,Everton,Curacao,12.1,-68.9
Petr Cech,Goalkeeper,Arsenal,Czech Republic,49.8,15.4
Jiri Skalak,Midfielder,Brighton & Hove Albion,Czech Republic,49.8,15.4
Anders Lindegaard,Goalkeeper,Burnley,Denmark,56.2,9.5
Andreas Christensen,Defender,Chelsea,Denmark,56.2,9.5
Jonas Lossl,Goalkeeper,Huddersfield Town,Denmark,56.2,9.5
Philip Billing,Midfielder,Huddersfield Town,Denmark,56.2,9.5
Zanka,Defender,Huddersfield Town,Denmark,56.2,9.5
Kasper Schmeichel,Goalkeeper,Leicester City,Denmark,56.2,9.5
Pierre-Emile Hojbjerg,Midfielder,Southampton,Denmark,56.2,9.5
Jakob Haugaard,Goalkeeper,Stoke City,Denmark,56.2,9.5
Christian Eriksen,Midfielder,Tottenham Hotspur,Denmark,56.2,9.5
Antonio Valencia,Defender,Manchester United,Ecuador,-1.8,-78.1
Mohamed El Neny,Midfielder,Arsenal,Egypt,26.8,30.8
Mohamed Salah,Forward,Liverpool,Egypt,26.8,30.8
Ramadan Sobhi,Midfielder,Stoke City,Egypt,26.8,30.8
Ahmed Hegazi,Defender,West Bromwich Albion,Egypt,26.8,30.8
Jermain Defoe,Forward,AFC Bournemouth,England,52.6,-1.1
Aaron Ramsdale,Goalkeeper,AFC Bournemouth,England,52.6,-1.1
Simon Francis,Defender,AFC Bournemouth,England,52.6,-1.1
Steve Cook,Defender,AFC Bournemouth,England,52.6,-1.1
Charlie Daniels,Defender,AFC Bournemouth,England,52.6,-1.1
Adam Smith,Defender,AFC Bournemouth,England,52.6,-1.1
Tyrone Mings,Defender,AFC Bournemouth,England,52.6,-1.1
Dan Gosling,Midfielder,AFC Bournemouth,England,52.6,-1.1
Andrew Surman,Midfielder,AFC Bournemouth,England,52.6,-1.1
Marc Pugh,Midfielder,AFC Bournemouth,England,52.6,-1.1
Lewis Cook,Midfielder,AFC Bournemouth,England,52.6,-1.1
Junior Stanislas,Midfielder,AFC Bournemouth,England,52.6,-1.1
Jordon Ibe,Midfielder,AFC Bournemouth,England,52.6,-1.1
Callum Wilson,Forward,AFC Bournemouth,England,52.6,-1.1
